Sample ID	Collection date	Geological location name	Latitude/Longtitude	Days since blooming	Air temperature (˚C)	Humidity (%)	Rainfall (mm)	Sunlight (MJ/m^2)
omgseq_000116	2015-03-31 10:30:00	Fukuoka, Kurume, Japan	33.1946 N 130.3211 E	6	16.9	not collected	0.0	0.0
omgseq_000124	2015-04-02 10:20:00	Fukuoka, Kurume, Japan	33.1946 N 130.3211 E	8	17.2	not collected	0.0	0.0
omgseq_000132	2015-03-31 09:35:00	Oita, Yufu, Japan	33.2100 N 131.5400 E	4	13.2	not collected	0.0	0.4
omgseq_000141	2015-03-31 09:52:00	Oita, Yufu, Japan	33.2100 N 131.5400 E	4	13.2	not collected	0.0	0.4
omgseq_000159	2015-03-25 08:30:23	Kochi, Kochi, Japan	33.5715 N 133.5237 E	3	6.2	49.0	0.0	1.0
omgseq_000167	2015-03-25 09:00:37	Kochi, Kochi, Japan	33.5704 N 133.5600 E	3	9.4	29.0	0.0	1.0
omgseq_000175	2015-03-28 08:42:00	Kochi, Kochi, Japan	33.5715 N 133.5237 E	6	11.9	60.0	0.0	1.0
omgseq_000183	2015-03-28 09:19:18	Kochi, Kochi, Japan	33.5704 N 133.5600 E	6	14.0	50.0	0.0	1.0
omgseq_000191	2015-04-02 08:03:41	Kochi, Kochi, Japan	33.5715 N 133.5237 E	11	16.6	74.0	0.0	1.0
omgseq_000205	2015-04-02 08:03:57	Kochi, Kochi, Japan	33.5704 N 133.5600 E	11	16.6	74.0	0.0	1.0
omgseq_000213	2015-03-28 13:54:45	Kagawa, Takamatsu, Japan	34.3297 N 134.0445 E	2	18.6	34.0	0.0	1.0
omgseq_000221	2015-03-28 14:01:45	Kagawa, Takamatsu, Japan	34.3288 N 134.0426 E	2	20.3	31.0	0.0	1.0
omgseq_000230	2015-04-04 13:43:16	Kagawa, Takamatsu, Japan	34.3490 N 134.0515 E	7	17.9	67.0	0.0	0.0
omgseq_000248	2015-04-04 13:53:16	Kagawa, Takamatsu, Japan	34.3492 N 134.0510 E	7	17.9	67.0	0.0	0.0
omgseq_000256	2015-03-24 10:30:00	Nagasaki, Nagasaki, Japan	32.7723 N 129.8685 E	2	10.8	44.0	0.0	0.9
omgseq_000264	2015-03-24 10:30:00	Nagasaki, Nagasaki, Japan	32.7723 N 129.8685 E	8	10.8	44.0	0.0	0.9
omgseq_000272	2015-03-25 16:45:00	Nagasaki, Nagasaki, Japan	32.7727 N 129.8691 E	3	13.9	35.0	0.0	1.0
omgseq_000281	2015-03-25 16:45:00	Nagasaki, Nagasaki, Japan	32.7727 N 129.8691 E	8	13.9	35.0	0.0	1.0
omgseq_000299	2015-03-30 06:45:00	Fukuoka, Kasuya, Japan	33.7061 N 130.4372 E	4	not collected	not collected	not collected	not collected
omgseq_000302	2015-03-30 07:00:00	Fukuoka, Kasuya, Japan	33.7062 N 130.4372 E	3	not collected	not collected	not collected	not collected
omgseq_000311	2015-04-02 08:00:00	Saga, Saga, Japan	33.2544 N 130.3214 E	14	13.6	88.0	0.0	0.0
omgseq_000329	2015-04-02 08:05:00	Saga, Saga, Japan	33.2544 N 130.3214 E	14	13.6	88.0	0.0	0.0
